event_id,node_id,date_from,date_to,date_precision,event_type,institutional_presence,fortification_state,garrison_state,access_state,relationship_state,sovereignty_note,evidence_grade,evidence_scope,source_id,notes
CAL1500_E01,CAL,1500-12-16,1500-12-18,RANGE,PORTUGUESE_FACTORY_LOST,NONE,NONE,NONE,RESTRICTED,HOSTILE,"Soberania permanece com o Samorim de Calecute; a ruptura elimina a presença institucional portuguesa, não a autoridade local.",A,NODE_DIRECT,OLIVEIRA_COSTA_CABRAL_1500|SUBRAHMANYAM_PEA,"A crise iniciada após a ação de 16 de dezembro leva ao ataque à feitoria, evacuação dos sobreviventes, retaliação portuguesa e ruptura política/comercial. Pela regra conservadora do modelo, o novo estado só se torna efetivo no limite superior da janela."
COC1500_E01,COC,1500-12-24,1501-01-09,RANGE,PORTUGUESE_RESIDENT_PRESENCE,FACTORY_INITIAL,NONE,NONE,NEGOTIATED,FAVORABLE,"Soberania permanece com o Perumpadappu Swarupam / rajá de Cochim.",A,NODE_DIRECT,OLIVEIRA_COSTA_CABRAL_1500|EVE_COCHIN,"Cabral estabelece presença residente inicial em Cochim sem fortificação ou guarnição."
CAN1501_E01,CAN,1501-01-15,1501-01-15,EXACT,FAVORABLE_PORT_CONTACT,NONE,NONE,NONE,NEGOTIATED,FAVORABLE,"Soberania permanece com Kolathunad / Kolathiri.",A,NODE_DIRECT,OLIVEIRA_COSTA_CABRAL_1500|EVE_CANNANORE,"Primeiro contato operacional favorável de Cabral em Cananor; feitoria posterior não é retroprojetada."
CAN1501_E02,CAN,1501-12-01,1501-12-31,RANGE,PORTUGUESE_FACTORY_ESTABLISHED,FACTORY,NONE,NONE,NEGOTIATED,FAVORABLE,"Soberania permanece com Kolathunad / Kolathiri.",B,NODE_DIRECT,EVE_CANNANORE|DEFESA_JNOVA_1501,"João da Nova estabelece presença institucional permanente ao fim de 1501."
COC1502_E01,COC,1502-11-01,1502-12-31,RANGE,FACTORY_REORGANIZED,FACTORY_REORGANIZED,NONE,NONE,NEGOTIATED,FAVORABLE,"Soberania permanece com o Perumpadappu Swarupam / rajá de Cochim.",A,NODE_DIRECT,EVE_COCHIN|CANAVARRO_GGB_2000,"Diogo Fernandes Correia substitui Gonçalo Gil Barbosa na feitoria."
CAN1502_E01,CAN,1502-11-01,1502-12-31,RANGE,FACTORY_REORGANIZED,FACTORY_REORGANIZED,NONE,NONE,NEGOTIATED,FAVORABLE,"Soberania permanece com Kolathunad / Kolathiri.",A,NODE_DIRECT,EVE_CANNANORE|CANAVARRO_GGB_2000,"Gonçalo Gil Barbosa assume a feitoria de Cananor."
COC1503_E01,COC,1503-04-01,1503-04-30,RANGE,POLITICAL_CONTROL_CRISIS,FACTORY_DISPLACED,NONE,NONE,DISRUPTED,HOSTILE_PRESSURE,"Crise militar não transfere soberania a Portugal; autoridade local é deslocada temporariamente.",B,NODE_DIRECT,EVE_COCHIN|SUBRAHMANYAM_PEA,"Ofensiva de Calecute provoca retirada do rajá e dos portugueses para Vaipim."
COC1503_E02,COC,1503-09-01,1503-09-30,RANGE,LOCAL_AUTHORITY_RESTORED,FACTORY_RESTORED,NONE,NONE,NEGOTIATED,FAVORABLE,"Rajá de Cochim reassume a cidade; soberania continua local.",B,NODE_DIRECT,EVE_COCHIN|SUBRAHMANYAM_PEA,"Chegada das forças portuguesas permite restauração do aliado local."
COC1503_E03,COC,1503-09-27,1503-12-31,RANGE,FORTIFICATION_ESTABLISHED,FACTORY_RESTORED,PORTUGUESE_FORT,NONE,NEGOTIATED,FAVORABLE,"Fortificação portuguesa existe sob soberania local de Cochim.",B,NODE_DIRECT,HPIP_COCHIN|EVE_COCHIN,"Forte inicial de madeira/palma/terra associado à presença portuguesa; data de 27/09 é referência de trabalho derivada da tradição usada pelo HPIP."
COC1503_E04,COC,1503-10-01,1503-12-31,RANGE,GARRISON_ESTABLISHED,FACTORY_RESTORED,PORTUGUESE_FORT,PORTUGUESE_GARRISON,NEGOTIATED,FAVORABLE,"Guarnição portuguesa residente não altera a soberania local de Cochim.",B,NODE_DIRECT,EVE_COCHIN|SUBRAHMANYAM_PEA,"Duarte Pacheco Pereira permanece em Cochim com pequena força e duas caravelas; evento prepara o baseline de 1504."
